Country;NUTS_Code;Air_Pollutant;Outcome;Affected_Population;Populated_Area[km2];Air_Pollution_Average[ug/m3];Value;;;;;;;;
Albania;AL;NO2;Asthma;2337443,00;11299,00;5,50;103,00;;;;;;;;
Albania;AL;PM2.5;Asthma;456076,00;11299,00;11,30;231,00;;;;;;;;
Albania;AL0;NO2;Asthma;2337443,00;11299,00;5,50;103,00;;;;;;;;
Albania;AL0;PM2.5;Asthma;456076,00;11299,00;11,30;231,00;;;;;;;;
Albania;AL03;PM2.5;Asthma;149508,00;4041,50;11,30;69,00;;;;;;;;
Albania;AL02;PM2.5;Asthma;171667,00;2684,50;12,10;101,00;;;;;;;;
Albania;AL01;PM2.5;Asthma;134900,00;4573,00;10,90;59,00;;;;;;;;
Albania;AL03;NO2;Asthma;766246,00;4041,50;6,00;23,00;;;;;;;;
Albania;AL02;NO2;Asthma;879815,00;2684,50;6,00;66,00;;;;;;;;
Albania;AL01;NO2;Asthma;691381,00;4573,00;4,70;14,00;;;;;;;;
Albania;AL011;NO2;Asthma;114946,00;1014,30;4,30;1,00;;;;;;;;
Albania;AL021;PM2.5;Asthma;48563,00;1690,50;11,00;22,00;;;;;;;;
Albania;AL031;NO2;Asthma;119255,00;740,10;5,80;3,00;;;;;;;;
Albania;AL011;PM2.5;Asthma;22427,00;1014,30;10,00;8,00;;;;;;;;
Albania;AL013;NO2;Asthma;71521,00;794,20;4,20;1,00;;;;;;;;
Albania;AL014;PM2.5;Asthma;21512,00;844,20;11,40;9,00;;;;;;;;
Albania;AL031;PM2.5;Asthma;23268,00;740,10;11,20;10,00;;;;;;;;
Albania;AL012;NO2;Asthma;213754,00;566,30;7,00;4,00;;;;;;;;
Albania;AL013;PM2.5;Asthma;13955,00;794,20;10,10;5,00;;;;;;;;
Albania;AL032;PM2.5;Asthma;50838,00;1121,00;13,80;26,00;;;;;;;;
Albania;AL021;NO2;Asthma;248892,00;1690,50;5,20;6,00;;;;;;;;
Albania;AL012;PM2.5;Asthma;41707,00;566,30;14,30;22,00;;;;;;;;
Albania;AL022;PM2.5;Asthma;123104,00;994,00;13,80;79,00;;;;;;;;
Albania;AL015;NO2;Asthma;180903,00;1354,00;4,30;5,00;;;;;;;;
Albania;AL015;PM2.5;Asthma;35297,00;1354,00;10,30;14,00;;;;;;;;
Albania;AL032;NO2;Asthma;260552,00;1121,00;7,60;7,00;;;;;;;;
Albania;AL022;NO2;Asthma;630922,00;994,00;7,50;59,00;;;;;;;;
Albania;AL014;NO2;Asthma;110255,00;844,20;5,00;1,00;;;;;;;;
Albania;AL033;PM2.5;Asthma;11761,00;672,90;9,60;4,00;;;;;;;;
Albania;AL034;PM2.5;Asthma;36183,00;766,40;9,80;16,00;;;;;;;;
Albania;AL033;NO2;Asthma;60278,00;672,90;4,50;1,00;;;;;;;;
Albania;AL034;NO2;Asthma;185447,00;766,40;5,80;6,00;;;;;;;;
Albania;AL035;NO2;Asthma;140713,00;741,10;5,30;4,00;;;;;;;;
Albania;AL035;PM2.5;Asthma;27455,00;741,10;10,70;11,00;;;;;;;;
Albania;AL;PM2.5;Asthma;456076,00;11299,00;11,30;0,00;;;;;;;;
Albania;AL;NO2;Asthma;2337443,00;11299,00;5,50;57,00;;;;;;;;
Albania;AL;PM2.5;Asthma;456076,00;11299,00;11,30;0,00;;;;;;;;
Albania;AL;NO2;Asthma;2337443,00;11299,00;5,50;6,00;;;;;;;;
Albania;AL0;PM2.5;Asthma;456076,00;11299,00;11,30;0,00;;;;;;;;
Albania;AL0;PM2.5;Asthma;456076,00;11299,00;11,30;0,00;;;;;;;;
Albania;AL0;NO2;Asthma;2337443,00;11299,00;5,50;6,00;;;;;;;;
Albania;AL0;NO2;Asthma;2337443,00;11299,00;5,50;57,00;;;;;;;;
Albania;AL01;NO2;Asthma;691381,00;4573,00;4,70;7,00;;;;;;;;
Albania;AL02;NO2;Asthma;879815,00;2684,50;6,00;36,00;;;;;;;;
Albania;AL02;PM2.5;Asthma;171667,00;2684,50;12,10;0,00;;;;;;;;
Albania;AL03;NO2;Asthma;766246,00;4041,50;6,00;1,00;;;;;;;;
Albania;AL01;NO2;Asthma;691381,00;4573,00;4,70;0,00;;;;;;;;
Albania;AL01;PM2.5;Asthma;134900,00;4573,00;10,90;0,00;;;;;;;;
Albania;AL01;PM2.5;Asthma;134900,00;4573,00;10,90;0,00;;;;;;;;
Albania;AL03;PM2.5;Asthma;149508,00;4041,50;11,30;0,00;;;;;;;;
Albania;AL02;PM2.5;Asthma;171667,00;2684,50;12,10;0,00;;;;;;;;
Albania;AL02;NO2;Asthma;879815,00;2684,50;6,00;3,00;;;;;;;;
Albania;AL03;NO2;Asthma;766246,00;4041,50;6,00;13,00;;;;;;;;
Albania;AL03;PM2.5;Asthma;149508,00;4041,50;11,30;0,00;;;;;;;;
Albania;AL011;NO2;Asthma;114946,00;1014,30;4,30;0,00;;;;;;;;
Albania;AL013;PM2.5;Asthma;13955,00;794,20;10,10;0,00;;;;;;;;
Albania;AL014;NO2;Asthma;110255,00;844,20;5,00;0,00;;;;;;;;
Albania;AL014;PM2.5;Asthma;21512,00;844,20;11,40;0,00;;;;;;;;
Albania;AL014;PM2.5;Asthma;21512,00;844,20;11,40;0,00;;;;;;;;
Albania;AL015;NO2;Asthma;180903,00;1354,00;4,30;0,00;;;;;;;;
Albania;AL015;NO2;Asthma;180903,00;1354,00;4,30;2,00;;;;;;;;
Albania;AL022;PM2.5;Asthma;123104,00;994,00;13,80;0,00;;;;;;;;
Albania;AL022;NO2;Asthma;630922,00;994,00;7,50;32,00;;;;;;;;
Albania;AL031;NO2;Asthma;119255,00;740,10;5,80;2,00;;;;;;;;
Albania;AL031;PM2.5;Asthma;23268,00;740,10;11,20;0,00;;;;;;;;
Albania;AL031;PM2.5;Asthma;23268,00;740,10;11,20;0,00;;;;;;;;
Albania;AL013;NO2;Asthma;71521,00;794,20;4,20;0,00;;;;;;;;
Albania;AL013;NO2;Asthma;71521,00;794,20;4,20;0,00;;;;;;;;
Albania;AL015;PM2.5;Asthma;35297,00;1354,00;10,30;0,00;;;;;;;;
Albania;AL032;NO2;Asthma;260552,00;1121,00;7,60;3,00;;;;;;;;
Albania;AL032;PM2.5;Asthma;50838,00;1121,00;13,80;0,00;;;;;;;;
Albania;AL011;PM2.5;Asthma;22427,00;1014,30;10,00;0,00;;;;;;;;
Albania;AL012;NO2;Asthma;213754,00;566,30;7,00;2,00;;;;;;;;
Albania;AL014;NO2;Asthma;110255,00;844,20;5,00;0,00;;;;;;;;
Albania;AL011;PM2.5;Asthma;22427,00;1014,30;10,00;0,00;;;;;;;;
Albania;AL022;NO2;Asthma;630922,00;994,00;7,50;3,00;;;;;;;;
Albania;AL032;NO2;Asthma;260552,00;1121,00;7,60;0,00;;;;;;;;
Albania;AL033;PM2.5;Asthma;11761,00;672,90;9,60;0,00;;;;;;;;
Albania;AL033;PM2.5;Asthma;11761,00;672,90;9,60;0,00;;;;;;;;
Albania;AL015;PM2.5;Asthma;35297,00;1354,00;10,30;0,00;;;;;;;;
Albania;AL012;NO2;Asthma;213754,00;566,30;7,00;0,00;;;;;;;;
Albania;AL034;NO2;Asthma;185447,00;766,40;5,80;0,00;;;;;;;;
Albania;AL011;NO2;Asthma;114946,00;1014,30;4,30;0,00;;;;;;;;
Albania;AL021;NO2;Asthma;248892,00;1690,50;5,20;0,00;;;;;;;;
Albania;AL013;PM2.5;Asthma;13955,00;794,20;10,10;0,00;;;;;;;;
Albania;AL035;PM2.5;Asthma;27455,00;741,10;10,70;0,00;;;;;;;;
Albania;AL021;NO2;Asthma;248892,00;1690,50;5,20;3,00;;;;;;;;
Albania;AL021;PM2.5;Asthma;48563,00;1690,50;11,00;0,00;;;;;;;;
Albania;AL012;PM2.5;Asthma;41707,00;566,30;14,30;0,00;;;;;;;;
Albania;AL012;PM2.5;Asthma;41707,00;566,30;14,30;0,00;;;;;;;;
Albania;AL022;PM2.5;Asthma;123104,00;994,00;13,80;0,00;;;;;;;;
Albania;AL033;NO2;Asthma;60278,00;672,90;4,50;0,00;;;;;;;;
Albania;AL021;PM2.5;Asthma;48563,00;1690,50;11,00;0,00;;;;;;;;
Albania;AL034;PM2.5;Asthma;36183,00;766,40;9,80;0,00;;;;;;;;
